WK_Nummer;WK_Bezeichnung;Wahlberechtigte_2016;Waehler_2016;UngueltigeStimmen_2016;GueltigeStimmen_2016;CDU_2016;GRUENE_2016;SPD_2016;FDP_2016;LINKE_2016;PIRATEN_2016;REP_2016;NPD_2016;OEDP_2016;PARTEI_2016;BUESO_2016;DKP_2016;ALFA_2016;TIERSCHUTZALLIANZ_2016;AFD_2016;ARMINIUS_2016;BUENDNIS_C_2016;EINHEIT_2016;RECHTE_2016;FWG_2016;MENSCHLICHE_WELT_2016;TIERSCHUTZPARTEI_2016;EINZELBEWERBER2016;Wahlberechtigte_2011;Waehler_2011;UngueltigeStimmen_2011;GueltigeStimmen_2011;CDU_2011;GRUENE_2011;SPD_2011;FDP_2011;LINKE_2011;PIRATEN_2011;REP_2011;NPD_2011;OEDP_2011;PARTEI_2011;BUESO_2011;DKP_2011;ALFA_2011;TIERSCHUTZALLIANZ_2011;AFD_2011;ARMINIUS_2011;BUENDNIS_C_2011;EINHEIT_2011;RECHTE_2011;FWG_2011;MENSCHLICHE_WELT_2011;TIERSCHUTZPARTEI_2011;EINZELBEWERBER2011;SONSTIGE_2011
1;Stuttgart I;97.666;73.149;315;72.834;13.772;30.847;7.823;7.083;5.333;970;68;0;305;543;35;0;383;0;5.133;0;0;0;0;0;0;539;0;94.347;71.300;435;70.865;19.036;30.115;12.407;4.334;2.393;1.385;368;192;337;0;109;0;0;0;0;0;0;0;0;0;0;0;76;113
2;Stuttgart II;92.379;71.472;337;71.135;17.331;26.450;7.551;7.643;2.367;680;81;81;352;0;29;0;523;0;7.551;0;0;0;0;0;0;496;0;90.670;70.493;544;69.949;23.626;23.925;13.333;4.945;1.669;1.128;474;293;450;0;106;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Stuttgart III;90.726;63.377;387;62.990;14.821;19.307;8.127;5.719;2.785;723;170;147;342;0;67;0;444;0;9.628;0;0;0;0;0;0;710;0;90.692;63.707;585;63.122;21.591;17.697;14.591;3.765;2.357;990;875;450;394;0;92;0;0;0;0;0;0;0;0;0;0;0;0;320
4;Stuttgart IV;92.663;63.690;404;63.286;14.051;21.773;8.544;5.081;3.755;799;131;144;299;0;35;0;350;0;7.596;0;0;0;0;0;0;728;0;91.980;63.315;484;62.831;19.727;20.286;14.077;3.208;2.532;1.083;713;396;390;0;0;0;0;0;0;0;0;0;0;0;0;0;125;294
5;B_blingen;131.112;92.797;821;91.976;25.403;25.443;12.718;8.186;2.233;816;194;468;0;612;0;0;735;0;15.168;0;0;0;0;0;0;0;0;127.848;87.364;949;86.415;35.494;18.744;20.342;4.462;2.298;1.765;611;1.024;375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.300
6;Leonberg;128.472;96.510;751;95.759;26.286;30.515;10.796;9.057;2.097;883;205;367;642;0;0;0;687;0;14.224;0;0;0;0;0;0;0;0;126.454;92.720;947;91.773;35.893;22.510;20.115;6.105;2.012;1.895;781;1.085;466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;911
7;Esslingen;112.285;82.644;602;82.042;21.339;26.494;13.485;5.564;2.335;657;284;239;383;607;0;0;616;0;10.039;0;0;0;0;0;0;0;0;110.272;79.886;726;79.160;28.876;21.166;20.118;3.512;1.862;1.402;953;495;444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;332
8;Kirchheim;120.289;89.550;731;88.819;23.519;27.095;12.534;7.327;1.641;712;906;276;411;0;0;0;681;0;12.625;0;0;0;0;0;0;903;189;119.312;86.128;947;85.181;32.848;19.810;20.037;5.088;1.569;1.763;2.046;610;477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;933
9;NÙrtingen;124.945;93.694;803;92.891;23.400;32.406;9.790;8.499;1.983;667;527;227;623;655;0;0;782;0;13.332;0;0;0;0;0;0;0;0;123.567;90.249;1.012;89.237;35.434;22.918;19.751;4.145;1.806;1.610;1.568;651;705;0;0;0;0;0;0;0;0;0;0;0;0;0;0;649
10;G_ppingen;95.036;64.823;678;64.145;15.041;18.656;9.480;5.307;1.337;525;281;314;345;500;0;0;1.174;0;11.185;0;0;0;0;0;0;0;0;94.741;62.267;822;61.445;23.365;13.543;16.228;2.861;1.970;1.493;794;713;478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
